name@version *,license *,copyrights *,end-of-support,dependencies,language,repository,email,URL
FastInfoset-1.2.7.jar,Apache-2.0; EDL-1.0,-,-,-,Java,-,-,-
XmlSchema-1.4.5.jar,Apache-2.0,-,-,-,Java,-,-,-
abdera-core-0.4.0-incubating.jar,Apache-2.0,-,-,-,Java,-,-,-
abdera-extensions-json-0.4.0-incubating.jar,Apache-2.0,-,-,-,Java,-,-,-
abdera-extensions-main-0.4.0-incubating.jar,Apache-2.0,-,-,-,Java,-,-,-
abdera-i18n-0.4.0-incubating.jar,Apache-2.0,-,-,-,Java,-,-,-
abdera-parser-0.4.0-incubating.jar,Apache-2.0,-,-,-,Java,-,-,-
activation-1.0.2.jar,CDDL-1.0,-,-,-,Java,-,-,-
ant-1.6.5.jar,Apache-2.0,-,-,-,Java,-,-,-
antlr-2.7.7.jar,BSD,-,-,-,Java,-,-,-
asm-2.2.3.jar,BSD,-,-,-,Java,-,-,-
axiom-api-1.2.7.jar,Apache-2.0,-,-,-,Java,-,-,-
axiom-impl-1.2.7.jar,Apache-2.0,-,-,-,Java,-,-,-
axis-1.4.csi-1.0.0.jar,Libreria personalizzata CSI basata su Apache-2.0,-,-,-,Java,-,-,-
axis-ant-1.4.jar,Apache-2.0,-,-,-,Java,-,-,-
axis-jaxrpc-1.4.jar,Apache-2.0,-,-,-,Java,-,-,-
bcprov-jdk15-143.jar,BouncyCastle License,-,-,-,Java,-,-,http://www.bouncycastle.org/licence.html
commons-codec-1.6.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-collections-3.2.1.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-collections-3.2.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-discovery-0.2.jar,Apache-1.1,-,-,-,Java,-,-,-
commons-httpclient-3.1.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-lang-2.4.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-lang-2.6.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-logging-1.1.1.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-pool-1.5.2.jar,Apache-2.0,-,-,-,Java,-,-,-
csi-stadapter-1.4.5.jar,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
cxf-2.2.5.jar,Apache-2.0,-,-,-,Java,-,-,-
ejb-2.1.jar,Libreria Java di Base,-,-,-,Java,-,-,-
geronimo-activation_1.1_spec-1.0.2.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-annotation_1.0_spec-1.1.1.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-javamail_1.4_spec-1.6.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-javamail_1.4_spec-1.7.1.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-jaxws_2.1_spec-1.0.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-jms_1.1_spec-1.1.1.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-servlet_2.5_spec-1.2.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-stax-api_1.0_spec-1.0.1.jar,Apache-2.0,-,-,-,Java,-,-,-
geronimo-ws-metadata_2.0_spec-1.1.2.jar,Apache-2.0,-,-,-,Java,-,-,-
